G,MD,W,AI,S,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,1,1,1,0,4.687,0,6,1,3,16,1
1,0,0,1,1,1.191,0,2,0,2,4,1
1,1,0,0,1,1.106,2,10,0,0,8,0
1,1,0,1,1,1.596,2,4,0,2,4,0
1,0,0,1,1,3.045,2,10,0,2,8,1
0,0,0,0,1,0.744,2,10,0,4,4,1
1,1,0,1,0,2.342,2,7,0,3,8,2
1,1,0,1,1,2.513,2,4,0,2,8,2
1,0,0,1,1,0.942,0,0,0,2,4,1
1,1,0,0,1,4.247,2,4,0,4,8,2
1,1,0,1,1,2.19,2,11,0,2,8,2
1,1,1,1,0,5.518,2,13,1,3,16,1
1,0,0,1,1,1.255,2,7,0,2,8,1
1,1,1,1,0,4.209,2,4,0,3,16,2
1,1,0,1,0,3.269,2,7,0,3,8,1
1,0,0,1,1,2.866,2,10,0,2,8,1
1,1,0,1,0,2.086,2,4,0,3,8,0
0,0,0,0,1,1.021,2,4,1,4,4,1
1,1,0,1,0,4.36,2,4,0,3,8,2
0,0,0,0,1,2.108,2,13,1,4,4,1
1,1,0,1,0,3.834,2,13,1,3,8,1
0,0,0,0,1,1.364,2,7,0,1,8,1
1,1,0,0,1,1.159,2,0,0,1,4,2
0,0,0,0,1,0.927,2,0,0,4,4,1
1,0,0,1,1,1.596,2,2,0,2,8,1
1,1,0,1,0,1.703,0,10,0,3,8,0
1,1,0,1,0,4.454,2,10,0,3,8,2
0,0,0,0,1,0.648,2,2,0,4,4,1
1,1,0,0,1,1.0,2,0,0,1,4,2
1,1,0,1,1,1.618,2,4,0,2,8,0
1,1,0,1,0,3.621,2,7,0,3,12,2
1,1,0,1,0,3.96,2,10,0,3,12,1
1,1,0,1,0,4.26,2,7,1,3,8,1
1,1,0,1,1,2.459,2,7,0,2,8,0
1,0,0,1,1,2.717,0,6,1,2,8,1
1,0,0,1,1,3.925,2,4,1,2,8,1
1,1,0,1,0,2.768,2,2,0,3,12,1
0,0,0,0,1,1.577,2,4,0,1,8,1
1,1,0,1,0,5.132,2,4,0,3,8,2
1,0,0,1,1,2.907,2,10,0,2,8,1
1,1,0,1,1,1.439,2,4,0,2,8,0
1,0,0,1,1,3.563,2,16,0,2,8,1
1,1,0,1,0,2.69,2,4,0,3,8,2
0,0,0,0,1,1.25,2,4,0,1,4,1
1,0,0,1,1,1.547,2,7,0,2,4,1
0,0,0,0,1,0.53,2,3,0,4,4,1
0,0,0,0,1,1.204,2,10,0,1,4,1
1,0,0,1,1,2.236,2,10,0,2,8,1
1,1,1,1,0,4.983,2,4,0,3,16,2
1,1,1,1,0,4.047,2,4,0,3,16,2
1,1,1,1,0,3.832,2,10,0,3,16,1
1,1,1,1,0,4.156,2,2,0,3,16,1
1,1,0,1,1,2.157,2,10,0,2,8,2
1,1,1,1,0,5.965,2,16,1,3,32,1
1,1,0,1,0,2.877,2,2,0,3,8,2
1,1,0,0,1,1.234,2,0,0,0,8,0
1,0,0,1,1,2.342,2,10,0,2,8,1
1,1,0,1,0,1.916,2,10,0,3,8,1
1,1,0,1,0,3.727,2,7,0,3,8,1
0,0,0,0,1,2.023,2,10,0,1,8,1
1,0,0,1,1,1.942,2,10,0,2,8,1
0,0,0,0,1,0.725,2,2,0,4,4,1
1,1,0,1,1,1.319,2,7,0,2,8,0
1,0,0,1,1,3.408,2,10,1,2,8,1
0,0,0,0,1,0.637,2,10,0,4,4,1
0,0,0,0,1,0.565,0,10,0,4,4,1
1,0,0,1,1,2.023,2,10,0,2,8,1
1,1,0,1,0,2.609,2,2,0,3,8,1
1,1,0,1,1,1.306,2,0,0,2,4,2
1,1,0,1,0,2.82,2,7,0,3,8,1
1,1,0,1,0,2.449,0,10,0,3,8,2
1,0,0,1,1,1.916,2,4,1,2,8,1
1,1,0,1,0,1.362,2,0,0,3,4,2
1,0,0,1,1,1.782,2,4,0,2,8,1
1,1,1,1,0,2.598,2,4,0,3,16,0
1,1,1,1,0,2.984,0,18,0,3,16,2
0,0,0,0,1,0.522,2,2,0,4,2,1
1,0,0,1,1,1.111,2,7,1,2,4,1
1,1,0,1,1,1.895,2,7,0,2,8,2
1,1,1,1,0,3.205,2,2,0,3,16,2
1,1,0,1,0,2.982,2,10,0,3,8,2
1,1,0,1,0,2.982,2,7,0,3,8,1
1,0,0,1,1,2.727,2,4,0,2,8,1
0,0,0,0,1,1.468,2,7,0,1,4,1
1,1,0,1,1,1.895,0,4,0,2,8,0
1,0,0,1,1,2.856,2,10,0,2,8,1
1,1,0,1,0,1.703,2,10,0,3,4,2
1,1,0,0,1,0.978,0,10,0,1,8,2
1,1,0,1,1,1.247,2,4,0,2,4,0
1,0,0,1,1,2.935,2,4,0,2,8,1
1,1,1,1,0,6.421,2,4,0,3,16,2
1,0,0,1,1,1.833,2,16,0,2,8,1
